ID,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
176580,80,92,84,83,90,84,86,82,77,84,72,68,76,92,78,89,69,78,85,88,87,41,91,84,83,85,45,38,27,25,31,33,37
192985,94,82,55,94,82,88,85,83,93,92,77,76,78,91,76,91,63,89,74,91,76,66,88,94,84,91,65,53,15,13,5,10,13
212198,87,77,58,88,86,85,86,87,87,88,78,76,79,86,79,89,72,94,67,89,70,74,83,90,91,86,67,55,12,14,15,8,14
194765,83,88,83,84,87,87,86,85,82,89,80,79,91,92,83,81,90,86,63,82,73,49,89,85,86,89,54,49,14,8,14,13,14
224334,87,66,57,81,68,87,88,75,78,87,77,75,82,83,90,82,63,90,80,81,84,78,81,82,76,87,82,79,8,14,13,13,14
212462,89,65,67,83,67,82,87,79,87,82,84,85,73,83,70,87,80,91,68,83,78,80,75,76,81,78,81,79,13,8,12,11,14
187961,67,84,85,82,75,82,66,75,76,83,74,71,73,82,85,83,92,92,82,80,81,80,84,83,71,81,79,75,16,16,11,6,8
178518,73,75,59,85,75,83,73,68,82,84,71,71,75,85,83,86,74,89,75,89,88,86,84,80,63,84,86,90,11,11,14,8,11
212622,91,66,72,87,67,83,85,61,86,85,77,66,84,88,84,78,79,95,67,84,89,82,80,84,44,85,84,79,8,15,7,15,15
181291,72,75,78,88,73,85,78,73,81,88,77,76,84,86,88,78,81,93,74,73,75,79,79,79,74,86,79,69,16,6,14,12,6
208333,71,76,81,84,71,82,77,64,83,79,66,81,73,81,75,85,87,88,86,81,88,84,78,79,60,83,86,80,14,8,8,13,11
155862,66,65,92,82,69,65,74,76,83,83,72,70,78,92,66,79,93,81,85,64,90,88,73,71,92,88,88,90,11,8,9,7,11
209658,75,79,82,84,69,82,76,75,79,85,81,76,76,87,70,79,78,83,88,82,81,79,83,82,60,82,79,75,13,8,15,11,9
177003,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,68,84,58,82,62,79,78,90,82,92,75,71,13,9,7,14,9
197445,80,60,76,85,67,77,77,85,79,83,78,77,76,88,77,82,83,75,76,78,74,84,73,78,79,84,83,82,5,7,14,15,9
181872,76,75,81,81,78,76,76,68,80,82,66,65,73,85,77,84,82,86,83,81,93,84,82,81,81,80,86,83,4,2,4,2,4
185103,90,60,80,78,64,80,85,88,77,77,69,67,61,83,58,95,79,79,73,86,86,82,78,77,80,90,83,81,16,15,8,16,6
195864,80,75,75,86,84,87,85,82,91,90,66,79,73,81,66,90,82,83,89,82,78,64,81,88,83,87,67,65,5,6,2,4,3
158023,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,35,24,6,11,15,14,8
