 x1            x2         x3          x4
1.051      -0.435     0.083      0.538
-0.419     -1.335    -1.347     -0.723
1.201      0.445     1.093      -0.112
0.661      0.415     0.673      -0.353
-1.819     -0.945    -0.817     -1.323
-0.899     0.375     -0.297     -0.433
3.001      1.495     1.723      2.418
-0.069     -2.625    -2.287     -1.063
-0.919     0.385     -0.547     0.808
-0.369     -0.265    -0.447     -0.543
-0.009     -0.515    0.943      -0.633
0.841      1.915     1.743      1.198
0.781      1.845     1.043      2.048
0.631      -0.495    0.413      -0.543
-1.679     -0.615    -1.567     -0.643
-0.229     -0.525    -0.777     -0.252
-0.709     -0.975    0.523      -0.713
-0.519     0.055     -0.357     0.078
0.051      0.715     0.133      0.237
0.221      0.245     0.403      0.238
-1.399     -0.645    -0.817     -1.133
0.651      0.385     1.063      -0.633
-0.469     -0.125    -0.557     -0.393
0.421      1.215     -0.017     1.838
