  x1     x2       x3     x4     x5     broken
 36.7   62.8   -89.5  54.1   1.7      1
 24.0    3.3   -3.5    20.9   1.1       1
-61.6  -120.8 -103.2 24.7   2.5     1
 -1.0   -18.1  -28.8   36.2   1.1       1
 18.9    -3.8  -50.6   26.4   0.9      1
-57.2   -61.2  -56.6  11.0   1.7     1
  3.0    -20.3  -17.4   8.0   1.0      1
 -5.1   -194.5  -25.8  6.5   0.5      1
 17.9     20.8   -4.3   22.6   1.0      1 
  5.4   -106.1  -22.9  23.8   1.5      1
 23.0  -39.4   -35.7   69.1   1.2      1
 13.5    7.2   -22.6    96.1   2.0       1
 2.03  -38.0     1.6    7.7   1.2       1
 35.2   43.0   16.4    99.1   1.3       0
 38.8   47.0   16.0    126.5  1.9       0
 14.0   -3.3    4.0     91.7   2.7        0
  55.1   35.0   20.8   72.3   1.9      0
  59.3   46.7   12.6   724.1  0.9     0
  33.6   20.8   12.5   152.8  2.4     0
  52.8   33.0   23.6   475.8  1.5    0
  47.4   68.6   13.8   81.3   1.6    0
  40.0   37.3   33.4   228.8  3.5    0
  69.0   59.0   23.0   406.0  5.5    0
  47.0   12.5    7.0   53.4    1.8    0
  15.4   37.3   34.1  70.1    1.5    0
  20.7   18.1   13.5  63.1    4.0    0
  35.3   21.5  -14.4  90.0    1.0    0
  39.0   17.4   12.0  60.5    1.3    0
  24.7   21.7   -7.8  18.6    1.6    0
