       id               house            child          age            income
        1                1                   4            61             5130
        2                0                   0            32             2500
        3                1                   1            35             2240
        4                0                   0            26             1890
        5                0                   0            25             1312
        6                1                   5            59             2850
        7                1                   3            46             3420
        8                1                   4            69             3780
        9                1                   3            57             4450
       10                1                   2            64             2344
       11                1                   5            72             2848
       12                1                   3            67             3100
       13                0                   0            33             1472
       14                0                   0            23             1496
       15                0                   1            33             1592
       16                1                   2            59             2596
       17                1                   1            60             2352
       18                1                   2            77             2200
       19                0                   2            52             2128
       20                1                   1            55             2358
       21                0                   1            37             2428
       22                1                   3            45             3125
       23                0                   1            34             2200
       24                0                   3            35             1900
       25                0                   1            35             2190
       26                1                   3            47             2340
       27                0                   0            24             1592
       28                0                   0            28             2340
       29                1                   2            57             3096
       30                1                   2            44             2558
       31                0                   3            65             1904
       32                1                   3            58             2432
       33                0                   2            49             1280
       34                0                   2            43             2376
       35                0                   3            44             1944
       36                1                   2            48             2528
       37                0                   0            23             1376
       38                0                   4            56             1832
       39                1                   0            30             1998
       40                1                   4            78             2112
