TotalCharge,Groups,Envelope ,Miles
3440.7,Std -- No Offer,Standard,No Offer
3291.67,Std -- No Offer,Standard,No Offer
3269.41,Std -- No Offer,Standard,No Offer
542.89,Std -- No Offer,Standard,No Offer
1889.59,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
270.24,Std -- No Offer,Standard,No Offer
1008.95,Std -- No Offer,Standard,No Offer
311.94,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
257.65,Std -- No Offer,Standard,No Offer
2328.46,Std -- No Offer,Standard,No Offer
2321.96,Std -- No Offer,Standard,No Offer
1991.57,Std -- No Offer,Standard,No Offer
1738.53,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
2107.64,Std -- No Offer,Standard,No Offer
2127.56,Std -- No Offer,Standard,No Offer
3872.98,Std -- No Offer,Standard,No Offer
1791.37,Std -- No Offer,Standard,No Offer
3931.72,Std -- No Offer,Standard,No Offer
2249.32,Std -- No Offer,Standard,No Offer
1350.28,Std -- No Offer,Standard,No Offer
281.12,Std -- No Offer,Standard,No Offer
1241.94,Std -- No Offer,Standard,No Offer
1160.35,Std -- No Offer,Standard,No Offer
652.67,Std -- No Offer,Standard,No Offer
1102.91,Std -- No Offer,Standard,No Offer
595.68,Std -- No Offer,Standard,No Offer
1880.93,Std -- No Offer,Standard,No Offer
377.38,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
2624.43,Std -- No Offer,Standard,No Offer
326.79,Std -- No Offer,Standard,No Offer
2369.14,Std -- No Offer,Standard,No Offer
1017.01,Std -- No Offer,Standard,No Offer
2227.92,Std -- No Offer,Standard,No Offer
2019.33,Std -- No Offer,Standard,No Offer
2201.53,Std -- No Offer,Standard,No Offer
1901.45,Std -- No Offer,Standard,No Offer
1679.41,Std -- No Offer,Standard,No Offer
1469.24,Std -- No Offer,Standard,No Offer
253.61,Std -- No Offer,Standard,No Offer
2081.99,Std -- No Offer,Standard,No Offer
542.26,Std -- No Offer,Standard,No Offer
599.13,Std -- No Offer,Standard,No Offer
1603.39,Std -- No Offer,Standard,No Offer
1582.47,Std -- No Offer,Standard,No Offer
2900.28,Std -- No Offer,Standard,No Offer
